Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2006,100834,26433049,20149901,2992547,80993,322452754,5300174,39289878,2958307,59107,82704,20697900,8268641,8484550,7607849,10547958,8216897,13829176,140921167,7601022,958418,331033,3765424,9604924,291329,64523,9395446,188167356,277477,370263,657410,1835908,4118069,32571174,105772481,7483934,153008,16354504,1311020000,18754916,18223674,56578037,3745141,43200897,626425,469170,4345412,6788123,11261248,141239,50740,1045507,10238905,82376451,794563,70718,5437272,9218686,33641002,1909891462,2733278836,2146744075,371318140,874157201,14059384,76873663,330922789,2918205,44397319,1346810,78489206,436998049,560082826,5266268,827870,63621381,47792,105371,1430152,60846820,3880347,22379055,33417,9307425,1591445,1377581,784496,11020362,104933,56774,13213330,158648,746343,1145660105,6857100,7634298,558909236,4311159,9344785,10071370,4253873152,5497791209,1243918057,414232526,229318262,829685531,81285,1165486291,,4273591,70554760,27448124,303782,7053700,58143979,2754407,5991540,127854000,15308084,37649033,5218400,13477709,94343,47339,48438292,2373672,533896503,5846074,4759753,3329211,5886872,165381,563337678,762132501,475927007,34970,19695972,2389129523,5447074437,1989939,2127750968,3269909,472637,2218357,493799,35237,30804683,34190,2880095,18880269,327487,354302463,107560153,55767,4971147430,2063131,13203378,405308,49301050,310109412,615025,2558856,55882,21080110,3111906,1233996,12973699,26201961,331015609,1971317,235750,14143971,142538308,5513763,16346101,4660677,26066693,9828,4184600,1250788448,2580758,23486218,164022627,3391666,28102056,87888675,19540,6646895,38141267,653695022,3805214,24054864,10522288,5913209,3406334,2100869,1052054839,261010,1022711,21193760,143049637,9043337,1543610696,24498310,31661823,11382268,4401365,481078,5829237,6079399,29700,10763905,7411569,778248224,7907406,779566820,32375210,161681,505295,5373054,2006868,9080505,1036092,33441,84600,19059258,29391,10457124,1885806859,434964326,5762880,65812536,6922587,4810109,547139430,1016432,306703078,101706,1543610696,779566820,1302561,10201214,68756810,10120,39548663,28571475,46787786,2582017907,3325401,298379912,26488250,108603,26850194,24023,108371,84617540,214370,6592734542,180876,1719536,20687646,48489459,12173514,12155491
2007,101222,27100536,20905363,2970017,82684,330290716,6168838,39684295,2932618,58365,84026,20827600,8295487,8581300,7862214,10625700,8454793,14252021,142660376,7545338,1035919,337389,3762786,9560953,299025,64888,9558439,190130443,278700,374965,664876,1875459,4198010,32889025,105378748,7551117,154636,16530195,1317885000,19171237,18730282,58453683,3876119,43737516,641620,475060,4404628,6833393,11251122,144056,52280,1063713,10298828,82266372,805451,70795,5461438,9338861,34166972,1924018226,2776922496,2161785573,372332605,877300672,14296557,78232126,332645165,2996536,45226803,1340680,80674348,438468400,574141732,5288720,836190,64016225,47825,104444,1472575,61322463,3860158,22963946,33517,9518162,1639848,1411543,821687,11048473,105190,56555,13477017,158847,746474,1154287221,6916300,7808518,574560260,4310217,9495328,10055780,4296873746,5570347419,1273473673,424192635,232374245,849281038,82408,1183209472,,4398942,71336475,27911248,311566,7180100,58438310,2768227,6255280,128001000,15484192,38705932,5268400,13679962,96527,47778,48683638,2504019,540405229,5944948,4767344,3461911,5974787,167639,570091464,780219542,489505419,35217,19842044,2428529757,5519916437,1986922,2140907334,3231294,479993,2200325,504511,36137,31163673,34525,2873429,19433530,335169,361929136,109170502,56051,5030411018,2065426,13651464,406724,49621475,315573347,615875,2593820,55219,21673316,3202517,1239630,13341806,26720370,334185120,2006514,239250,14685399,146339977,5590055,16381696,4709153,26382581,9842,4223800,1260210156,2657158,24104670,167808105,3453675,28333052,89405482,19158,6808514,38120560,672318833,3782995,24188331,10542964,5998427,3494496,2128664,1057981931,262721,1218434,20882982,142805114,9273757,1568003159,25184597,32360621,11687080,4588599,492132,5989633,6105810,30063,11080121,7381579,799583871,8315139,800908534,33066727,166300,511181,5374622,2018122,9148092,1042652,33811,85033,19878254,30385,10818024,1899800530,435646364,5920359,66182067,7062672,4870141,553909981,1036392,312078851,102581,1568003159,800908534,1308451,10304726,69581848,10221,40681414,29486338,46509355,2601881261,3331749,301231207,26868000,108518,27247610,25047,108339,85419591,219472,6674203658,182046,1733404,21282515,49119759,12502958,12255922
2008,101358,27722276,21695634,2947314,83862,338395961,7089487,40080160,2907618,57492,85397,21249200,8321496,8763400,8126102,10709973,8696921,14689725,144304167,7492561,1114641,343681,3754271,9527985,306823,65273,9721454,192030362,279946,379421,671613,1915639,4273366,33247118,105001883,7647675,156433,16708258,1324655000,19605569,19252666,60411195,4011486,44254975,657229,480842,4463125,6878978,11236971,145880,53836,1081563,10384603,82110097,816358,70827,5493621,9458075,34730608,1938057249,2820636595,2177119142,373751805,880829122,14535739,79636079,334274725,3062779,45954106,1337090,82916235,439876674,588463731,5313399,845361,64374984,47820,103543,1518540,61806995,3848449,23563825,33559,9738792,1689285,1446936,860840,11077841,105456,56328,13739299,159036,746817,1163465951,6957800,7980955,590590368,4309705,9646580,10038188,4340024690,5643601090,1303576400,434469613,235469762,869106787,83508,1200669765,,4489544,72120604,28385746,317414,7308800,58826731,2781876,6556478,128063000,15674000,39791981,5318700,13883834,98761,48185,49054708,2656009,546848933,6046620,4764741,3607860,6058748,170011,576783755,798563392,503324676,35471,19983984,2468136919,5593451953,1987129,2154245142,3198231,488650,2177322,515239,36885,31536811,34872,2867964,19996473,343452,369823252,110815271,56174,5090127277,2067313,14113577,409379,49929642,321168767,616969,2631898,54625,22276596,3296238,1244121,13727890,27236006,337406357,2043394,242750,15250908,150269623,5667432,16445593,4768212,26666576,9891,4259800,1270059587,2750963,24762406,171648986,3516204,28562317,90901965,18704,6976201,38125759,691447610,3760866,24310142,10558177,6081296,3591977,2157454,1064394156,264061,1436665,20537875,142742366,9524534,1592010819,25888541,33060837,12004701,4839396,503360,6133603,6131764,30434,11397188,7350222,821614380,8736939,822945457,33798838,171120,517123,5379233,2021316,9219637,1049945,33964,86956,20664038,31202,11183588,1913718210,436725144,6083420,66530984,7209930,4935767,560624670,1055431,317576790,103379,1592010819,822945457,1314443,10414433,70418604,10314,41853944,30431736,46258189,2621990358,3340221,304093966,27302800,108393,27635832,26097,108399,86243413,224704,6756917904,183263,1747383,21892146,49779471,12848530,12379549
2009,101455,28394813,22514281,2927519,84463,346629220,7917372,40482788,2888092,56683,86746,21691700,8343323,8947243,8397668,10796493,8944708,15141098,145924797,7444443,1185076,349604,3735938,9506765,314655,65636,9884781,193886508,281104,383906,678323,1953498,4337625,33628895,104800475,7743831,158178,16886186,1331260000,20059147,19789919,62448574,4145391,44750054,673252,486671,4520740,6925452,11226709,146833,55322,1098083,10443936,81902307,827823,70851,5523095,9576737,35333881,1952017409,2864298834,2192059415,375674687,884469375,14774424,81134798,335360890,3119920,46362946,1334515,85233913,440917800,603084255,5338871,853637,64707040,47808,102975,1568928,62276270,3814419,24170940,33565,9964469,1740279,1483921,901599,11107017,105789,56323,14000190,159226,747718,1171805563,6972800,8150775,607115564,4305181,9798046,10022650,4383703296,5717826463,1334123167,444998521,238620563,889124646,84376,1217726215,,4535375,72924837,28973162,318499,7485600,59095365,2795837,6893260,128047000,16092822,40901792,5383300,14093604,100930,48599,49307835,2821045,553244956,6148623,4813026,3754133,6133984,172221,583430029,817322629,517267751,35727,20123508,2507929642,5667768721,1990131,2167842734,3162916,497783,2141669,526400,37377,31929087,35226,2864346,20569117,353398,377883993,112463887,56250,5150500970,2069039,14581429,412477,50250367,326900984,618294,2673796,54193,22894710,3393409,1247429,14128155,27735040,340466060,2081044,245950,15843133,154324933,5745526,16530388,4828726,26883535,9939,4302600,1279114140,2876186,25417830,175525609,3579215,28792655,92414158,18285,7144776,38151603,711257522,3740410,24428341,10568247,6163972,3689099,2186314,1069878414,265254,1654950,20367487,142785349,9782770,1615610198,26630303,33783788,12335084,4987573,515181,6272734,6157686,30816,11717692,7320807,844320487,9142259,845655214,34529596,175876,523111,5386406,2039669,9298515,1057467,34238,87298,21205873,31934,11560147,1927560609,438498958,6250835,66866839,7364753,5007954,567289599,1074277,323211885,103890,1615610198,845655214,1320930,10525694,71321399,10424,43073834,31411096,46053331,2642571328,3349676,306771529,27767400,108287,28031009,27039,108405,87092252,230247,6839574284,184556,1761474,22516460,50477011,13215139,12526968
2010,101669,29185507,23356246,2913021,84449,354890042,8549988,40788453,2877319,56079,88028,22031750,8363404,9054332,8675602,10895586,9199259,15605217,147575430,7395599,1240860,354942,3705472,9490583,322464,65124,10048590,195713635,282131,388646,685503,1987105,4386768,34004889,104421447,7824909,159734,17062536,1337705000,20532950,20341241,64563854,4273731,45222700,689692,492654,4577378,6973206,11225832,148703,56672,1112612,10474410,81776930,840198,70878,5547683,9695121,35977455,1965954304,2907916913,2206884624,377835769,887926820,15011117,82761235,336151479,3170435,46576897,1331475,87639964,441532412,618029522,5363352,859818,65027507,47814,102911,1624140,62766365,3786695,24779619,33585,10192176,1793196,1522599,943639,11121341,106233,56905,14259687,159444,749436,1179329063,7024200,8317470,624219326,4295427,9949322,10000023,4427061912,5792408554,1365346642,456049562,241834215,909297080,84857,1234281170,,4560155,73762519,29741976,318041,7623600,59277417,2810460,7261539,128070000,16321872,42030676,5447900,14312212,102927,49016,49554112,2991884,559496784,6249165,4953061,3891356,6197663,174085,589932565,836614860,531260028,35994,20261737,2548154994,5742542551,1995581,2180828824,3097282,506953,2097555,538219,37582,32343389,35612,2861487,21151640,365734,385917886,114092963,56366,5211282523,2070741,15049353,414508,50600818,332777824,619428,2719896,53971,23531574,3494195,1250400,14539612,28208035,343391679,2118874,249750,16464025,158503197,5824065,16615394,4889252,27013212,10005,4350700,1287527866,3041434,26050942,179424641,3642687,29027674,93966780,17955,7310507,38042794,731868772,3721525,24548836,10573100,6248020,3786161,2214519,1074865103,266455,1856327,20246871,142849468,10039338,1638792934,27421461,34545013,12678148,5076732,527861,6415634,6183875,31229,12043883,7291436,867684936,9508364,869025106,35238667,180371,529131,5391428,2048583,9378126,1064837,34056,89770,21362529,32660,11952136,1941377349,440420861,6421679,67195028,7527394,5087213,573800641,1093523,328991663,103986,1638792934,869025106,1328147,10635244,72326988,10530,44346525,32428167,45870741,2663127529,3359275,309321666,28562400,108255,28439940,27794,108358,87967651,236211,6921871614,185949,1775680,23154855,51216964,13605984,12697723
2011,102046,30117413,24220661,2905195,83747,363158703,8946777,41261490,2876538,55759,89253,22340024,8391643,9173082,8958406,11038264,9460830,16081911,149273778,7348328,1278151,359577,3661175,9473172,330237,64564,10212954,197514534,282987,393688,693298,2015402,4418636,34339328,104174038,7912398,160998,17233576,1344130000,21028655,20906388,66755153,4394844,45663099,706569,498856,4633086,7022387,11236670,150831,57878,1124833,10496088,80274983,853674,70916,5570572,9813210,36661444,1980035609,2951429048,2221673110,380165082,890162706,15243883,84529250,335419643,3213972,46742697,1327439,90139927,440746976,633349420,5388272,863449,65342780,47823,103450,1684635,63258810,3756441,25387710,33612,10420471,1848147,1562989,986853,11104899,106796,56890,14521515,159692,752028,1184722247,7071600,8480671,641921311,4280622,10100320,9971727,4471056276,5867932480,1396876204,467268096,245116206,929608108,84886,1250288729,,4580084,74634956,30725300,319014,7765800,59379449,2825929,7663131,127833000,16557201,43178257,5514600,14541423,104728,49447,49936638,3168060,565882120,6347567,5202343,4017443,6247439,175544,596538911,856472234,545266258,36293,20398670,2588455505,5818138357,2003787,2193830506,3028115,518347,2059709,550832,37446,32781850,36024,2859833,21743967,380495,393944527,115695473,56531,5272872099,2072487,15514591,416268,50990615,338814807,620079,2770362,54012,24187487,3598648,1252404,14962112,28650955,345960766,2156701,254350,17114761,162805071,5903039,16693074,4953088,27041437,10057,4384000,1294064382,3251108,26647962,183340592,3706483,29264318,95570047,17745,7472200,38063255,753326798,3678732,24673385,10557560,6333976,3882986,2241798,1077815367,267698,2035871,20147528,142960908,10293331,1661534412,28267685,35349681,13033809,5183688,541521,6563240,6210568,31661,12376302,7234099,891706327,9830698,893046172,35912147,184524,535179,5398384,2052843,9449213,1072032,33435,87441,21082966,33377,12360989,1955334267,442656487,6595943,67518382,7697510,5174085,580429321,1113151,334931821,103562,1661534412,893046172,1336178,10741880,73443863,10633,45673338,33476919,45706086,2684416594,3368934,311556874,29339400,108316,28888369,28319,108292,88871561,242653,7002860604,187469,1791000,23807588,52004172,14023193,12894316
2012,102560,31161376,25107931,2900401,82427,371443547,9141596,41733271,2884229,55667,90409,22733465,8429991,9295784,9245988,11106932,9729248,16571246,151007807,7305888,1299943,363584,3604972,9464495,338000,64798,10377676,199287296,283700,398989,701583,2039551,4436415,34714222,103935318,7996861,162056,17400347,1350695000,21547188,21485266,69020747,4510198,46076848,723871,505235,4688000,7072665,11257101,152088,58958,1135046,10510785,80425823,868136,70965,5591572,9930911,37383887,1994391099,2994364053,2236819053,382509766,893788642,15474102,86422240,336159194,,46773055,1322696,92726971,441395932,649019820,5413971,865069,65659809,47843,104506,1749682,63700215,3728874,25996449,33646,10652029,1905011,1604979,1031191,11045011,107446,56810,14781942,159996,755399,1191504227,7150100,8640691,660193774,4267558,10250930,9920362,4515492025,5943961722,1428469697,478336539,248452413,950133158,84533,1265782790,,4599533,75539862,31890011,320716,7910500,59539717,2842132,8090872,127629000,16792089,44343410,5607200,14780454,106370,49887,50199853,3348853,572224389,6444530,5538634,4135659,6285750,176646,603097381,876869863,559335524,36615,20425000,2628465458,5894259181,2014990,2206932754,2987773,530946,2034319,564039,37009,33241898,36460,2859458,22346641,397237,401974219,117274155,56717,5334923657,2074278,15979499,420028,51413698,345004009,620601,2824699,54311,24862648,3706554,1255882,15396005,29068159,348610010,2194784,259000,17795191,167228767,5982526,16754962,5018573,26989862,10279,4408100,1302076238,3498029,27227319,187281475,3770624,29506788,97212638,17640,7631002,38063164,775573001,3634488,24800612,10514844,6421512,3979998,2268708,1082327434,268998,2196074,20058035,143201721,10549678,1683747130,29155187,36193783,13401991,5312437,556064,6712581,6237923,32105,12715510,7199077,916382788,10113647,917726973,36568692,188404,541245,5407579,2057159,9519374,1079288,34640,88303,20442541,34066,12784750,1969562739,444898523,6773807,67835957,7874835,5267900,587002346,1132994,341024011,102737,1683747130,917726973,1344817,10847002,74653016,10739,47052481,34559168,45593342,2706458199,3378974,313830990,29774500,108435,29362449,28650,108191,89802487,249499,7085763408,189088,1807106,24473178,52834005,14465121,13115131
2013,103159,32269589,26015780,2895092,80774,379705717,9197910,42202935,2897584,55713,91516,23128129,8479823,9416801,9540289,11159407,10004588,17072775,152764676,7265115,1315029,367168,3542605,9465997,345715,65001,10542376,201035903,284296,404421,710238,2062536,4447942,35082954,103713726,8089346,163038,17571507,1357380000,22087505,22077298,71358807,4622761,46497267,741505,511748,4742107,7123332,11282720,153822,59932,1143866,10514272,80645605,883293,71016,5614932,10048224,38140132,2008921191,3037111086,2252046977,385088778,898060416,15707474,88404640,337302113,,46620045,1317997,95385785,442469471,664904231,5438972,865608,65998687,47892,105926,1817071,64128273,3717668,26607642,33692,10892810,1963711,1648257,1076413,10965211,108170,56483,15043981,160407,759285,1198364441,7178900,8798521,679012664,4255689,10400673,9893082,4560256590,6020879645,1460623055,489626543,251806402,970996512,83976,1280846129,,4623816,76481943,33157050,323764,8059500,60233948,2858709,8520420,127445000,17035550,45519889,5719600,15026332,107890,50331,50428893,3526376,578502021,6541304,5914621,4248334,6320359,177513,609600087,897797478,573583598,36934,20585000,2668772179,5971275701,2028519,2220299295,2957689,543360,2012647,577372,36453,33715693,36901,2858692,22961253,415593,409977872,118827161,56938,5397692103,2076067,16449864,425967,51852451,351299193,621207,2881792,54784,25560725,3817494,1258653,15839269,29468872,351141670,2233510,263650,18504255,171765769,6062454,16804432,5079623,26917906,10821,4442100,1310420937,3764805,27794595,191262919,3835437,29773987,98871552,17606,7788379,38040196,798495530,3593077,24929452,10457295,6510276,4076708,2296101,1087064112,270328,2336574,19983693,143506995,10811543,1705772050,30052518,37072550,13782420,5399162,571335,6863980,6266070,32553,13063706,7164132,941692468,10355036,943041070,37214028,192087,547291,5413393,2059953,9600379,1086839,36607,89949,19584274,34731,13220424,1983964453,447368356,6954721,68144501,8059769,5366375,593511231,1153295,347222485,101768,1705772050,943041070,1353700,10952951,75928564,10857,48482266,35695246,45489648,2728919924,3389439,315993715,30243200,108622,29783571,28847,108044,90753472,256635,7169640142,190717,1818117,25147109,53689236,14926504,13350356
2014,103774,33370794,26941779,2889104,79213,387907747,9214175,42669500,2912403,55791,92562,23475686,8546356,9535079,9844297,11209057,10286842,17586017,154520167,7223938,1336075,370633,3482104,9474511,353366,65138,10706517,202763735,284825,409769,719056,2088614,4464175,35437435,103496179,8188649,164100,17758959,1364270000,22647683,22681858,73767447,4736974,46969209,759390,518269,4795396,7173435,11306902,155909,60848,1152285,10525347,80982500,898696,71085,5643475,10165178,38923687,2023597462,3079708546,2267482299,387660810,902406816,15951838,90424654,338462222,,46480882,1314545,98094253,443576663,680813822,5461512,866453,66312067,47960,107446,1883800,64602298,3719414,27224472,33725,11150977,2024042,1692439,1122276,10892413,108902,56295,15306316,161016,763380,1205404809,7229500,8955589,698336451,4238389,10549008,9866468,4604835324,6098336986,1493501662,501147849,255129004,992353813,83488,1295604184,,4657740,77465753,34411951,327386,8215700,60789140,2875136,8920049,127276000,17288285,46699981,5835500,15274503,109391,50774,50746659,3690941,584679495,6639756,6262410,4359505,6362037,178296,616002686,919226401,588174709,37223,20778000,2709173405,6048823568,2043437,2233869138,2932367,556319,1993782,590208,36015,34192347,37322,2856950,23589887,435015,417932241,120355128,57179,5460648859,2077775,16934220,434558,52280807,357637340,621810,2940108,55305,26286163,3930896,1260934,16289540,29866559,353803581,2273430,268050,19240157,176404902,6142733,16865008,5137232,26906926,11853,4509700,1319151470,4027260,28364410,195306825,3901315,30090359,100513138,17626,7946731,38011735,821931240,3534874,25057752,10401062,6599526,4173398,2325136,1091996107,271705,2459198,19908979,143819666,11083635,1727640967,30916994,37977655,14174731,5469724,587079,7017144,6295128,32948,13423576,7130576,967607494,10554883,968959787,37862981,195727,553273,5418649,2061980,9696110,1095021,37685,91359,18715672,35369,13663559,1998513398,449819913,7137997,68438730,8252833,5466328,599938979,1174331,353463942,101028,1727640967,968959787,1362342,11063201,77231907,10972,49959822,36912148,45272156,2751475454,3400434,318301008,30757700,108861,30045134,28989,107884,91714595,263888,7254228377,192221,1812771,25823485,54545991,15399753,13586681
2015,104341,34413603,27884381,2880703,78011,396028278,9262900,43131966,2925553,55812,93566,23815995,8642699,9649341,10160030,11274196,10575952,18110624,156256276,7177991,1371851,374206,3429361,9489616,360933,65237,10869730,204471769,285324,414907,727876,2120716,4493170,35702908,103257886,8282396,165385,17969353,1371220000,23226143,23298368,76244544,4856095,47520667,777424,524743,4847804,7222212,11324781,157980,61724,1160985,10546059,81686611,913993,71183,5683483,10281680,39728025,2038190036,3122156912,2282855831,390295673,906707416,16212020,92442547,339488380,,46444832,1315407,100835458,444543759,696641764,5479531,868627,66548272,48051,108895,1947686,65116219,3725276,27849205,33736,11432088,2085860,1737202,1168568,10820883,109599,56114,15567419,161853,767432,1212252369,7291300,9112916,718128416,4203604,10695542,9843028,4648915927,6176134815,1527218888,512877243,258383256,1014341645,83234,1310152403,,4701957,78492215,35572261,330815,8380100,60730582,2891021,9266575,127141000,17542806,47878336,5956900,15521436,110930,51203,51014947,3835591,590731810,6741164,6532678,4472230,6418315,179126,622301089,941131317,603234541,37470,20970000,2749824313,6126712591,2059021,2247409050,2904910,569604,1977527,602085,35858,34663603,37718,2834530,24234088,454915,425821770,121858258,57439,5523478050,2079328,17438778,445053,52680726,363975550,622159,2998439,55780,27042002,4046301,1262605,16745303,30270962,356403308,2314904,272400,20001663,181137448,6223240,16939923,5188607,27015031,12475,4595700,1327822047,4267348,28948869,199426964,3968487,30470734,102113212,17665,8107775,37986412,845759344,3473232,25183833,10358076,6688746,4270092,2355672,1096860060,273124,2565710,19815616,144096870,11369071,1749417068,31717667,38902950,14578459,5535002,603118,7171914,6325124,33272,13797201,7095383,994102454,10715658,995458478,38526753,199432,559143,5423801,2063531,9799186,1104044,38825,93419,17997408,35981,14110975,2012980531,452301305,7323158,68714511,8454028,5565287,606271975,1196302,359705458,100781,1749417068,995458478,1370328,11179949,78529409,11099,51482633,38225453,45154036,2773653737,3412009,320635163,31298900,109148,30081829,29152,107710,92677076,271130,7338964960,193513,1788196,26497889,55386367,15879361,13814629
2016,104872,35383128,28842484,2876101,77297,404024435,9360980,43590368,2936146,55741,94527,24190907,8736668,9757812,10487998,11331422,10872067,18646378,157970840,7127822,1425791,377931,3386267,9501534,368400,64554,11031813,206163058,285796,419800,736709,2159944,4537687,36109487,102994278,8373338,166923,18209068,1378665000,23822714,23926539,78789127,4980999,48171392,795592,531146,4899345,7269386,11335109,159664,62569,1170187,10566332,82348669,929112,71307,5728010,10397743,40551404,2053103802,3164386917,2298486142,392870484,910904758,16491115,94447072,340481753,,46484062,1315790,103603501,445487728,712328811,5495303,872399,66724104,48173,110215,2007873,65611593,3727505,28481946,33737,11738441,2149139,1782437,1215179,10775971,110261,56186,15827690,162951,771366,1219052239,7336600,9270795,738387254,4174349,10839970,9814023,4692789458,6254594188,1561804730,524790731,261554226,1037013999,83287,1324509589,,4755335,79564016,36610632,335439,8546000,60627498,2906238,9551467,126994511,17794055,49051686,6079500,15766293,112524,51625,51217803,3956875,596643917,6845846,6711121,4586788,6492164,180024,628484873,963511276,618780841,37658,21203000,2790617792,6205230249,2075001,2261409324,2868231,582014,1959537,612836,36065,35126296,38070,2802170,24894380,475513,433597628,123333376,57735,5586449408,2080745,17965429,455356,53045226,370276461,622303,3056359,56188,27829942,4163534,1263473,17205289,30684804,359115352,2358041,276550,20788838,185960289,6303974,17030314,5234519,27261131,13049,4693200,1336641415,4479219,29542879,203627284,4037078,30926032,103663927,17725,8271760,37970087,869943914,3406672,25307744,10325452,6777872,4367088,2388307,1101715022,274575,2654374,19702267,144342396,11668818,1771167194,32442572,39847440,14993528,5607283,619437,7328838,6356143,33504,14185613,7058322,1021168391,10832512,1022526541,39200572,203227,564888,5430798,2065042,9923085,1113984,39969,94677,17453933,36559,14561666,2027771091,454717187,7509952,68971331,8663579,5662372,612502802,1219288,365909373,101133,1771167194,1022526541,1377564,11303946,79821724,11225,53050790,39647506,45004674,2795831616,3424132,322941311,31847900,109459,29846179,29355,107510,93638724,278330,7424282488,194535,1777557,27168210,56203654,16363507,14030390
